City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
150,Tarauaca,BR,80.69,few clouds,-8.1614,-70.7656,Flat Temporada
152,Cartagena,CO,78.42,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
155,Butaritari,KI,81.93,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
157,Matara,LK,77.34,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
162,Atuona,PF,76.82,few clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
170,Road Town,VG,84.29,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
175,Tukrah,LY,75.65,clear sky,32.5341,20.5791,Lagrota restaurant
176,Kantang,TH,80.69,few clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
180,Kavieng,PG,84.6,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
182,Tefe,BR,75.09,scattered clouds,-3.3542,-64.7114,Aracati Hotel
188,Dhandhuka,IN,86.05,overcast clouds,22.3667,71.9833,Amin Auto
190,Bengkulu,ID,78.4,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
191,Puri,IN,81.12,moderate rain,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
192,Santa Rosa,PH,88.09,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
193,Wanxian,CN,77.81,overcast clouds,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
196,Prainha,BR,75.87,overcast clouds,-1.8,-53.48,Casa Rocha
199,Praia,CV,77.97,broken clouds,14.9215,-23.5087,LT Aparthotel
200,Tabuk,PH,81.07,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
204,Carlet,ES,76.89,overcast clouds,39.2333,-0.5167,Hotel Ciutat De Carlet
207,Lorengau,PG,84.7,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
209,Cayenne,GF,77.04,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
215,Panacan,PH,83.53,overcast clouds,9.2463,118.4082,Mom's Place Resort
216,Dodge City,US,86.23,clear sky,37.7528,-100.0171,Windsor Inn & Suites
217,Hami,CN,82.51,clear sky,42.8,93.45,Laoyutang Resort
218,Ugoofaaru,MV,80.47,broken clouds,5.6667,73.0,Ungoofaaru Inn
222,Alugan,PH,84.49,overcast clouds,12.2188,125.4808,JM Lodge
225,Mount Pleasant,US,79.0,scattered clouds,32.7941,-79.8626,Best Western Patriots Point
230,Bonthe,SL,76.87,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
233,Rock Springs,US,82.04,few clouds,41.5875,-109.2029,Homewood Suites by Hilton Rock Springs
239,Katsuura,JP,77.4,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
240,Meulaboh,ID,76.39,overcast clouds,4.1363,96.1285,Kost Pria
244,Dicabisagan,PH,83.75,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
254,Tevaitoa,PF,78.1,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
263,Itarema,BR,77.36,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
264,Le Vauclin,MQ,79.84,clear sky,14.5452,-60.8388,Hôtel Cap Macabou
276,Hilo,US,87.28,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
281,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
285,Salalah,OM,77.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
294,Anloga,GH,76.35,overcast clouds,5.7947,0.8973,Pin Drop Hotel
298,Portobelo,PA,76.96,overcast clouds,9.55,-79.65,Scuba Portobelo
301,Abnub,EG,80.49,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
309,Narasaraopet,IN,77.22,very heavy rain,16.25,80.0667,AT International Lodge
313,Saint Anthony,US,82.33,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
315,Crestview,US,76.91,scattered clouds,30.7621,-86.5705,"Holiday Inn Express & Suites Crestview South I-10, an IHG Hotel"
319,French Harbor,HN,84.2,few clouds,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
324,Tezu,IN,76.5,overcast clouds,27.9167,96.1667,Circuit House
325,Dingle,PH,78.48,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
326,Tagusao,PH,83.12,overcast clouds,9.1924,117.8141,Caycay future beach resort
327,Faanui,PF,78.26,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
328,Portland,US,81.68,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
330,Keningau,MY,77.58,broken clouds,5.3378,116.1602,Sabindo Hotel
339,Mount Isa,AU,80.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
342,Xuanzhou,CN,77.76,overcast clouds,30.9525,118.7553,Nanfang Hotel
345,Chenghai,CN,84.11,overcast clouds,23.4632,116.768,Guangdong Hotel
346,Puerto Vallarta,MX,85.91,broken clouds,20.6204,-105.2307,Sunset Plaza Beach Resort & Spa
347,Pasco,US,75.83,overcast clouds,28.292,-82.4165,Connection Community/Park
348,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
351,Manggar,ID,78.71,light rain,-2.8833,108.2667,Guest Hotel
355,Mindelo,CV,76.96,broken clouds,16.8901,-24.9804,Hotel Gaudi
356,Turbat,PK,82.51,clear sky,26.0023,63.044,Mubashar Quarters
357,Hobyo,SO,75.4,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
363,Pangai,TO,82.51,few clouds,-19.8,-174.35,Ha'apai Beach Resort
365,Abu Zabad,SD,77.5,overcast clouds,12.35,29.25,حامد محمد نور
366,Chachoengsao,TH,76.93,overcast clouds,13.6167,101.4167,บ้านเจ๊น้อยห้วยหิน
368,Nang Rong,TH,75.6,overcast clouds,14.6377,102.7914,Phanomrungpuri Boutique Hotels & Resorts
369,Gat,IL,77.4,clear sky,31.61,34.7642,OlusHome
379,Cabo San Lucas,MX,81.7,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
382,Port Hedland,AU,75.25,broken clouds,-20.3167,118.5667,The Esplanade Hotel
383,Alyangula,AU,81.43,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
385,Sorong,ID,84.36,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
