City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
108,Naryan-Mar,RU,2022-09-06 01:33:00,67.6713,53.087,44.33,94,100,7.45
109,Puerto Ayora,EC,2022-09-06 01:33:00,-0.7393,-90.3518,68.56,97,93,3.0
110,Muros,ES,2022-09-06 01:33:01,42.7762,-9.0603,64.69,92,4,12.97
111,Chilca,PE,2022-09-06 01:33:01,-12.5211,-76.7372,58.96,88,3,5.28
112,Mae Sai,TH,2022-09-06 01:33:01,20.4335,99.8762,78.26,90,52,1.5
113,Gaoua,BF,2022-09-06 01:33:01,10.2992,-3.2508,72.27,96,99,4.38
114,Esperance,AU,2022-09-06 01:33:02,-33.8667,121.9,58.84,76,81,13.06
115,Burnie,AU,2022-09-06 01:33:02,-41.0667,145.9167,55.94,51,20,6.78
116,Longyearbyen,SJ,2022-09-06 01:33:03,78.2186,15.6401,39.04,87,75,3.44
117,Sao Filipe,CV,2022-09-06 01:33:03,14.8961,-24.4956,79.74,81,100,2.51
118,Natal,BR,2022-09-06 01:29:03,-5.795,-35.2094,75.42,94,100,9.22
119,Natchitoches,US,2022-09-06 01:33:03,31.7668,-93.1335,79.65,100,0,0.0
120,Makakilo City,US,2022-09-06 01:33:03,21.3469,-158.0858,86.32,55,20,14.97
121,Berbera,SO,2022-09-06 01:33:04,10.4396,45.0143,89.73,54,26,5.97
122,Tiksi,RU,2022-09-06 01:33:04,71.6872,128.8694,47.1,51,86,14.54
123,Tezu,IN,2022-09-06 01:33:05,27.9167,96.1667,73.87,98,100,2.42
124,Inverell,AU,2022-09-06 01:33:05,-29.7833,151.1167,66.67,50,88,4.0
125,Cidreira,BR,2022-09-06 01:33:05,-30.1811,-50.2056,60.21,80,93,17.69
126,Tilichiki,RU,2022-09-06 01:33:06,60.4667,166.1,50.2,44,35,15.55
127,Key West,US,2022-09-06 01:33:06,24.5557,-81.7826,89.6,69,0,9.22
