City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,Sosnovo-Ozerskoye,RU,52.5249,111.5418,45.01,87,100,4.92,overcast clouds
138,East London,ZA,-33.0153,27.9116,64.96,81,40,16.46,scattered clouds
139,Dali,CN,25.7,100.1833,59.45,75,80,1.99,broken clouds
140,Faanui,PF,-16.4833,-151.75,78.21,75,10,22.48,light rain
141,Thompson,CA,55.7435,-97.8558,72.55,26,11,12.3,few clouds
142,Hualmay,PE,-11.0964,-77.6139,65.14,69,29,10.76,scattered clouds
143,Gat,IL,31.61,34.7642,79.81,100,0,6.29,clear sky
144,Belaya Kholunitsa,RU,58.84,50.8528,44.89,97,100,2.75,overcast clouds
145,Ostrovnoy,RU,68.0531,39.5131,43.38,79,100,14.32,light rain
146,Akom,CM,2.6678,12.7109,72.99,80,100,2.51,overcast clouds
147,Moyale,KE,3.5167,39.0584,77.09,43,100,13.06,overcast clouds
148,Meulaboh,ID,4.1363,96.1285,76.77,83,100,2.37,overcast clouds
149,Dolores,AR,-36.3132,-57.6792,73.51,40,0,10.56,clear sky
150,Alta Floresta,BR,-9.8756,-56.0861,96.55,26,52,5.95,broken clouds
151,Portel,BR,-1.9356,-50.8211,90.32,48,35,7.02,scattered clouds
152,Norman Wells,CA,65.282,-126.8329,53.78,48,24,7.07,few clouds
153,Nikolskoye,RU,59.7035,30.7861,48.78,92,14,5.28,few clouds
154,Ambon,ID,-3.6954,128.1814,79.23,14,20,2.3,few clouds
155,Balad,IQ,34.0164,44.1453,94.64,19,0,11.23,clear sky
156,Achikulak,RU,44.5517,44.8378,61.38,60,86,6.02,overcast clouds
157,Jibuti,DJ,11.5,42.5,92.12,36,0,1.72,clear sky
158,Inirida,CO,3.8653,-67.9239,87.71,57,40,3.13,scattered clouds
159,Salym,RU,60.0625,71.4789,43.93,92,100,10.33,overcast clouds
160,Senador Jose Porfirio,BR,-2.5908,-51.9542,88.36,53,100,0.4,overcast clouds
161,Muros,ES,42.7762,-9.0603,63.68,92,92,7.27,overcast clouds
162,Batemans Bay,AU,-35.7167,150.1833,57.09,86,99,4.83,overcast clouds
163,Guanajuato,MX,21.0186,-101.2591,77.31,57,85,2.98,overcast clouds
164,Tuktoyaktuk,CA,69.4541,-133.0374,40.05,84,100,10.22,overcast clouds
165,Umm Lajj,SA,25.0213,37.2685,86.13,57,0,9.22,clear sky
166,Saint-Georges,GD,12.0564,-61.7485,87.48,74,20,16.11,few clouds
167,Pingliang,CN,35.5392,106.6861,60.93,71,94,2.77,overcast clouds
168,Upernavik,GL,72.7868,-56.1549,37.33,87,100,4.23,overcast clouds
169,Cabo San Lucas,MX,22.8909,-109.9124,80.06,88,100,18.41,overcast clouds
170,Haines Junction,CA,60.7522,-137.5108,55.31,56,12,1.99,few clouds
171,Hofn,IS,64.2539,-15.2082,51.82,87,75,3.44,broken clouds
172,Fredericton,CA,45.9454,-66.6656,79.38,47,1,1.01,clear sky
173,Manta,EC,-0.95,-80.7333,74.98,73,100,16.11,overcast clouds
174,Agirish,RU,61.9247,63.0231,43.43,90,98,3.18,overcast clouds
175,Carnarvon,AU,-24.8667,113.6333,63.16,61,98,12.66,overcast clouds
176,Tuatapere,NZ,-46.1333,167.6833,39.02,91,93,3.8,overcast clouds
177,Elat,IL,29.5581,34.9482,89.44,31,0,4.61,clear sky
178,Brae,GB,60.3964,-1.353,57.0,90,99,18.75,overcast clouds
179,Gayny,RU,60.3071,54.3241,43.88,95,100,3.31,overcast clouds
180,San Patricio,US,28.017,-97.5169,91.35,53,100,5.95,overcast clouds
181,Te Anau,NZ,-45.4167,167.7167,31.82,97,76,1.54,broken clouds
182,Cabadiangan,PH,9.7531,122.4739,78.21,84,100,1.52,overcast clouds
183,Flin Flon,CA,54.7682,-101.865,73.38,25,12,5.93,few clouds
184,Sri Aman,MY,1.2376,111.4621,73.29,99,99,1.12,overcast clouds
185,Hambantota,LK,6.1241,81.1185,75.54,94,40,2.3,scattered clouds
186,Maymyo,MM,22.0333,96.4667,68.22,86,95,3.85,overcast clouds
187,Castro,BR,-24.7911,-50.0119,64.4,84,39,12.55,scattered clouds
188,Udachnyy,RU,66.4167,112.4,39.45,86,71,10.6,broken clouds
189,Ternate,ID,0.8,127.4,79.25,81,69,2.13,broken clouds
190,Tunduma,TZ,-9.3,32.7667,59.29,52,0,10.6,clear sky
191,Parrita,CR,9.5201,-84.3225,83.79,75,56,6.33,broken clouds
192,Kommunar,RU,59.6206,30.39,47.44,88,8,6.6,clear sky
193,Atasu,KZ,48.6814,71.6433,56.98,28,100,8.01,overcast clouds
194,Saskylakh,RU,71.9167,114.0833,35.64,85,95,6.46,overcast clouds
195,Axim,GH,4.8699,-2.2405,74.95,90,0,6.26,clear sky
196,Port Elizabeth,ZA,-33.918,25.5701,61.32,96,0,7.61,clear sky
197,Colquiri,BO,-17.4167,-67.1333,55.74,9,0,10.0,clear sky
198,Bambous Virieux,MU,-20.3428,57.7575,70.05,73,75,3.44,light rain
199,Kathmandu,NP,27.7167,85.3167,70.02,94,75,2.3,broken clouds
200,Zabid,YE,14.1951,43.3152,91.35,57,86,6.6,overcast clouds
201,Sitio Novo Do Tocantins,BR,-5.5183,-47.4611,101.52,16,75,6.24,broken clouds
202,Aykhal,RU,66.0,111.5,32.16,92,55,10.8,broken clouds
203,Galich,RU,58.3797,42.3475,44.01,96,100,3.56,overcast clouds
204,Manaure,CO,11.7751,-72.4445,85.39,74,100,17.02,overcast clouds
205,San Cristobal,VE,7.7669,-72.225,84.97,43,62,8.34,broken clouds
206,Airai,TL,-8.9266,125.4092,57.45,71,100,1.63,overcast clouds
207,Galveston,US,29.3669,-94.9669,94.17,60,40,6.91,scattered clouds
208,Bonavista,CA,48.6499,-53.1147,55.96,69,100,17.6,overcast clouds
209,Formosa,AR,-26.1775,-58.1781,87.78,20,0,11.5,clear sky
210,Akyab,MM,20.15,92.9,82.58,82,100,8.19,overcast clouds
211,Aban,RU,56.67,96.06,58.33,83,100,8.97,overcast clouds
212,Tautira,PF,-17.7333,-149.15,76.68,78,18,22.26,light rain
213,Pacific Grove,US,36.6177,-121.9166,91.54,61,0,6.91,clear sky
214,Lagoa,PT,39.05,-27.9833,74.97,88,100,21.61,overcast clouds
215,Bodden Town,KY,19.2833,-81.25,85.93,84,40,0.0,scattered clouds
216,Dauphin,CA,51.1494,-100.0502,84.18,21,0,13.49,clear sky
217,Grand Gaube,MU,-20.0064,57.6608,70.2,74,14,1.99,few clouds
218,Jiwani,PK,25.05,61.7417,79.32,77,0,7.99,clear sky
219,Sorland,NO,67.667,12.6934,49.86,70,76,11.48,broken clouds
220,Katsuura,JP,35.1333,140.3,78.04,85,20,9.33,few clouds
221,Lake Cowichan,CA,48.825,-124.0546,74.32,28,0,1.19,clear sky
222,Potosi,BO,-19.5836,-65.7531,61.77,3,0,14.79,clear sky
223,Bengkulu,ID,-3.8004,102.2655,73.62,91,100,3.02,overcast clouds
224,Winona,US,43.9666,-91.7668,82.98,65,0,0.0,clear sky
225,Filadelfia,US,39.9523,-75.1638,73.02,81,100,6.91,overcast clouds
226,Cayenne,GF,4.9333,-52.3333,87.84,62,96,13.8,overcast clouds
227,Vostok,RU,46.4856,135.8833,45.34,92,0,7.54,clear sky
228,Hovd,MN,48.0056,91.6419,65.97,21,0,11.63,clear sky
229,Prabumulih,ID,-3.45,104.25,72.43,98,100,2.53,overcast clouds
230,Meadow Lake,US,34.8014,-106.5436,91.45,21,0,3.58,clear sky
231,Kampot,KH,10.6167,104.1833,78.85,96,100,9.98,overcast clouds
232,Comodoro Rivadavia,AR,-45.8667,-67.5,39.06,81,40,13.8,light rain
233,Mocuba,MZ,-16.8392,36.9856,69.4,70,2,4.65,clear sky
234,Nantucket,US,41.2835,-70.0995,73.51,76,0,17.27,clear sky
235,Taldan,RU,53.6667,124.8,43.75,75,14,9.1,few clouds
236,Flinders,AU,-34.5833,150.8552,59.38,80,97,3.0,overcast clouds
237,Vodnyy,RU,63.5046,53.4095,35.31,93,61,5.7,broken clouds
238,Aqtobe,KZ,50.2797,57.2072,44.69,57,0,4.47,clear sky
239,Kysyl-Syr,RU,63.8986,122.7617,37.56,96,7,6.69,clear sky
240,Yerkoy,TR,39.6381,34.4672,57.43,55,0,7.05,clear sky
241,Liling,CN,27.6667,113.5,73.24,77,100,3.44,overcast clouds
242,Ribeira Grande,PT,38.5167,-28.7,77.4,88,75,11.5,broken clouds
243,Moussoro,TD,13.6408,16.4901,92.5,41,91,3.91,overcast clouds
244,Carauari,BR,-4.8828,-66.8958,94.3,36,100,1.99,overcast clouds
245,Alihe,CN,50.5667,123.7167,46.56,86,10,3.22,clear sky
246,Balakhninskiy,RU,58.0106,114.2769,35.64,94,61,1.72,broken clouds
247,Bhandaria,BD,22.4861,90.0609,83.75,77,100,5.21,overcast clouds
248,Faya,SA,18.3851,42.4509,70.32,40,77,7.31,broken clouds
249,Bulgan,MN,48.8125,103.5347,59.13,49,4,3.15,clear sky
250,Fare,PF,-16.7,-151.0167,77.67,75,2,21.94,light rain
251,Elk Plain,US,47.0532,-122.3976,73.89,49,0,8.05,clear sky
252,Ugoofaaru,MV,5.6667,73.0,80.87,80,100,15.08,overcast clouds
253,Balkanabat,TM,39.5108,54.3671,82.31,35,98,6.98,overcast clouds
254,Alekseyevsk,RU,57.8406,108.3492,40.37,93,61,2.73,broken clouds
255,Port Lincoln,AU,-34.7333,135.8667,51.67,92,80,13.38,broken clouds
256,Shieli,KZ,44.1667,66.75,67.86,19,93,16.58,overcast clouds
257,Cherskiy,RU,68.75,161.3,44.58,58,100,10.25,overcast clouds
258,Mana,GF,5.6592,-53.7767,85.23,66,15,10.16,few clouds
259,Sonoita,MX,31.85,-112.8333,95.86,33,3,4.83,clear sky
260,Saint-Augustin,CA,51.226,-58.6502,60.42,59,75,6.73,broken clouds
261,Dingle,PH,10.9995,122.6711,75.72,92,100,5.17,overcast clouds
262,Khandbari,NP,27.3747,87.2039,72.7,92,95,0.76,overcast clouds
263,Panzhihua,CN,26.5851,101.7128,69.53,86,100,0.81,overcast clouds
264,Igarka,RU,67.4667,86.5833,31.91,82,100,8.19,overcast clouds
265,Cidreira,BR,-30.1811,-50.2056,66.11,78,84,9.6,broken clouds
266,Abu Dhabi,AE,24.4667,54.3667,89.71,82,0,6.91,clear sky
267,Merauke,ID,-8.4667,140.3333,76.46,92,85,9.64,overcast clouds
268,Songea,TZ,-10.6833,35.65,65.43,52,100,2.19,overcast clouds
269,Karratha,AU,-20.7377,116.8463,66.29,61,1,7.78,clear sky
270,Chuy,UY,-33.6971,-53.4616,69.04,66,9,4.94,clear sky
271,Nome,US,64.5011,-165.4064,48.27,87,75,8.05,broken clouds
272,Shenjiamen,CN,29.9576,122.298,76.42,72,93,6.46,overcast clouds
273,Lasa,IT,46.6166,10.7002,61.36,94,81,4.79,broken clouds
274,San Andres,CO,12.5847,-81.7006,82.44,77,100,7.47,overcast clouds
275,Pipili,IN,20.1167,85.8333,80.94,100,40,0.0,haze
276,Saldanha,ZA,-33.0117,17.9442,53.65,87,0,17.49,clear sky
277,Rathenow,DE,52.6066,12.337,67.01,91,99,6.89,overcast clouds
278,San Juan,AR,-31.5375,-68.5364,89.35,3,0,31.07,clear sky
279,Iranshahr,IR,27.2025,60.6848,89.51,34,0,3.56,clear sky
280,Khatanga,RU,71.9667,102.5,32.68,84,98,9.44,overcast clouds
281,Pocone,BR,-16.2567,-56.6228,104.34,14,39,10.8,scattered clouds
282,La Ronge,CA,55.1001,-105.2842,70.02,42,75,11.5,broken clouds
283,Ixtapa,MX,20.7,-105.2,90.23,58,100,4.61,overcast clouds
284,Puerto Ayacucho,VE,5.6639,-67.6236,84.43,74,75,6.15,broken clouds
285,Verkhnevilyuysk,RU,63.4453,120.3167,41.5,95,96,5.53,overcast clouds
286,Port Said,EG,31.2565,32.2841,80.65,75,0,11.63,clear sky
287,Torbay,CA,47.6666,-52.7314,59.29,76,75,21.85,broken clouds
288,Bubaque,GW,11.2833,-15.8333,81.43,84,100,9.82,light rain
289,Seddon,AU,-37.8068,144.8916,60.98,71,100,10.36,light rain
290,Ahuimanu,US,21.4447,-157.8378,83.91,70,75,14.97,broken clouds
291,Leningradskiy,RU,69.3833,178.4167,37.17,67,1,7.14,clear sky
292,Vrangel,RU,42.7297,133.0839,62.46,90,0,5.03,clear sky
293,Usinsk,RU,65.9939,57.5281,35.67,78,68,10.51,broken clouds
294,Ayagoz,KZ,47.9714,80.4392,66.9,44,19,10.92,few clouds
295,Russell,US,32.3502,-85.1999,90.97,55,0,6.91,clear sky
296,Shihezi,CN,44.3,86.0333,80.82,19,0,6.04,clear sky
297,Ancud,CL,-41.8697,-73.8203,46.22,87,100,12.28,light rain
298,Esso,RU,55.9333,158.7,50.16,99,100,6.4,overcast clouds
299,Karimganj,IN,24.8667,92.35,78.58,89,100,3.02,overcast clouds
300,Espanola,US,35.9911,-106.0806,90.34,22,0,1.01,clear sky
301,Tulun,RU,54.5611,100.5792,54.46,93,97,5.73,overcast clouds
302,Vestmanna,FO,62.1564,-7.1664,54.52,62,100,12.66,overcast clouds
